QNAME,QDATU,HOUR,FLOW,FLOOR,LINES_PICKED,ITEMS_PICKED,RATIO,EFFORT,PRODUCTIVITY
ABDIM11,2026-02-25,10,B-flow,ground_floor,21,186,8.86,0.75,28.0
ABDIM11,2026-02-25,11,B-flow,ground_floor,38,444,11.68,0.5,76.0
ABDIM11,2026-02-25,13,B-flow,ground_floor,32,561,17.53,0.75,42.67
ANDRUK3,2026-02-25,11,A-flow,ground_floor,1,10,10.0,0.5,2.0
ANDRUK3,2026-02-25,13,A-flow,ground_floor,6,67,11.17,0.75,8.0
ANGELD6,2026-02-25,7,B-flow,ground_floor,14,89,6.36,1.0,14.0
ATANAG3,2026-02-25,15,A-flow,ground_floor,9,90,10.0,0.5,18.0
ATANAG3,2026-02-25,15,B-flow,ground_floor,20,352,17.6,0.5,40.0
ATANAG3,2026-02-25,16,B-flow,ground_floor,12,328,27.33,1.0,12.0
BAZIUK2,2026-02-25,15,A-flow,ground_floor,6,15,2.5,0.5,12.0
BAZIUK2,2026-02-25,15,B-flow,ground_floor,14,145,10.36,0.5,28.0
BAZIUK2,2026-02-25,16,B-flow,ground_floor,23,194,8.43,1.0,23.0
BAZIUK2,2026-02-25,17,A-flow,ground_floor,8,86,10.75,0.38,21.33
BAZIUK2,2026-02-25,17,B-flow,ground_floor,12,215,17.92,0.38,32.0
BAZIUK2,2026-02-25,18,A-flow,ground_floor,14,136,9.71,0.5,28.0
BAZIUK2,2026-02-25,18,B-flow,ground_floor,16,237,14.81,0.5,32.0
BAZIUK2,2026-02-25,19,A-flow,ground_floor,43,439,10.21,0.5,86.0
BAZIUK2,2026-02-25,20,A-flow,ground_floor,10,163,16.3,0.5,20.0
BAZIUK2,2026-02-25,20,B-flow,ground_floor,67,418,6.24,0.5,134.0
BAZIUK2,2026-02-25,21,A-flow,ground_floor,33,565,17.12,0.75,44.0
BAZIUK2,2026-02-25,22,A-flow,ground_floor,6,28,4.67,0.33,18.0
BAZIUK2,2026-02-25,22,B-flow,ground_floor,30,245,8.17,0.33,90.0
BAZIUK2,2026-02-25,22,unknown_flow,ground_floor,13,43,3.31,0.33,39.0
BUDIAO2,2026-02-25,7,A-flow,ground_floor,14,359,25.64,1.0,14.0
CHROBJ2,2026-02-25,7,B-flow,ground_floor,37,273,7.38,1.0,37.0
CHROBJ2,2026-02-25,8,B-flow,ground_floor,34,194,5.71,1.0,34.0
CHROBJ2,2026-02-25,9,B-flow,ground_floor,1,1,1.0,1.0,1.0
CHROBM2,2026-02-25,0,A-flow,ground_floor,1,1,1.0,0.5,2.0
CHROBM2,2026-02-25,0,B-flow,ground_floor,36,532,14.78,0.5,72.0
CHROBM2,2026-02-25,1,B-flow,ground_floor,30,319,10.63,1.0,30.0
CHROBM2,2026-02-25,2,B-flow,ground_floor,6,50,8.33,1.0,6.0
CHROBM2,2026-02-25,3,B-flow,ground_floor,22,227,10.32,1.0,22.0
CHROBM2,2026-02-25,4,B-flow,ground_floor,28,447,15.96,1.0,28.0
CHROBM2,2026-02-25,5,A-flow,ground_floor,9,105,11.67,1.0,9.0
CHROBM2,2026-02-25,6,A-flow,ground_floor,10,301,30.1,0.5,20.0
CHROBM2,2026-02-25,6,B-flow,ground_floor,25,405,16.2,0.5,50.0
CHROBM2,2026-02-25,7,B-flow,ground_floor,28,268,9.57,1.0,28.0
CHROBM2,2026-02-25,8,B-flow,ground_floor,18,161,8.94,1.0,18.0
DEBETH2,2026-02-25,13,A-flow,ground_floor,15,20,1.33,0.38,40.0
DEBETH2,2026-02-25,13,B-flow,ground_floor,17,204,12.0,0.38,45.33
DEBETH2,2026-02-25,14,A-flow,ground_floor,9,91,10.11,0.5,18.0
DEBETH2,2026-02-25,14,B-flow,ground_floor,3,54,18.0,0.5,6.0
DEBETH2,2026-02-25,15,A-flow,ground_floor,9,54,6.0,1.0,9.0
DEBETH2,2026-02-25,17,B-flow,ground_floor,7,90,12.86,0.75,9.33
DEBETH2,2026-02-25,18,B-flow,ground_floor,10,144,14.4,1.0,10.0
DOROBA2,2026-02-25,15,A-flow,ground_floor,12,176,14.67,1.0,12.0
DOROBA2,2026-02-25,16,B-flow,ground_floor,26,202,7.77,1.0,26.0
DOROBA2,2026-02-25,17,A-flow,ground_floor,6,42,7.0,0.38,16.0
DOROBA2,2026-02-25,17,B-flow,ground_floor,11,210,19.09,0.38,29.33
DOROBA2,2026-02-25,18,A-flow,ground_floor,7,70,10.0,1.0,7.0
DOROBA2,2026-02-25,19,A-flow,ground_floor,5,80,16.0,0.5,10.0
DOROBA2,2026-02-25,20,A-flow,ground_floor,14,329,23.5,1.0,14.0
DOROBA2,2026-02-25,21,A-flow,ground_floor,4,100,25.0,0.75,5.33
DOROBA2,2026-02-25,22,A-flow,ground_floor,4,75,18.75,1.0,4.0
FANELS2,2026-02-25,15,A-flow,ground_floor,9,18,2.0,0.5,18.0
FANELS2,2026-02-25,15,B-flow,ground_floor,24,388,16.17,0.5,48.0
FANELS2,2026-02-25,16,B-flow,ground_floor,43,643,14.95,1.0,43.0
FANELS2,2026-02-25,17,A-flow,ground_floor,9,9,1.0,0.38,24.0
FANELS2,2026-02-25,17,B-flow,ground_floor,13,309,23.77,0.38,34.67
FANELS2,2026-02-25,18,B-flow,ground_floor,57,1094,19.19,1.0,57.0
FANELS2,2026-02-25,19,A-flow,ground_floor,7,156,22.29,0.25,28.0
FANELS2,2026-02-25,19,B-flow,ground_floor,21,244,11.62,0.25,84.0
FANELS2,2026-02-25,20,A-flow,ground_floor,47,957,20.36,1.0,47.0
FANELS2,2026-02-25,21,A-flow,ground_floor,18,327,18.17,0.75,24.0
FANELS2,2026-02-25,22,B-flow,ground_floor,36,392,10.89,0.5,72.0
FANELS2,2026-02-25,22,unknown_flow,ground_floor,13,229,17.62,0.5,26.0
FIREKP2,2026-02-25,15,A-flow,ground_floor,17,160,9.41,0.5,34.0
FIREKP2,2026-02-25,15,B-flow,ground_floor,5,108,21.6,0.5,10.0
FIREKP2,2026-02-25,16,B-flow,ground_floor,39,435,11.15,1.0,39.0
FIREKP2,2026-02-25,17,A-flow,ground_floor,8,95,11.88,0.38,21.33
FIREKP2,2026-02-25,17,B-flow,ground_floor,23,1434,62.35,0.38,61.33
GARCIM424,2026-02-25,20,A-flow,ground_floor,4,67,16.75,1.0,4.0
GARCIM424,2026-02-25,21,A-flow,ground_floor,2,2,1.0,0.75,2.67
GEORGA19,2026-02-25,15,A-flow,ground_floor,24,422,17.58,1.0,24.0
GEORGA19,2026-02-25,16,A-flow,ground_floor,48,905,18.85,1.0,48.0
GLISZP2,2026-02-25,15,B-flow,ground_floor,30,199,6.63,1.0,30.0
GLISZP2,2026-02-25,16,A-flow,ground_floor,10,226,22.6,0.5,20.0
GLISZP2,2026-02-25,16,B-flow,ground_floor,9,93,10.33,0.5,18.0
GLISZP2,2026-02-25,17,A-flow,ground_floor,20,20,1.0,0.75,26.67
GNANAG2,2026-02-25,17,unknown_flow,ground_floor,1,1,1.0,0.75,1.33
GNANAG2,2026-02-25,18,B-flow,ground_floor,23,732,31.83,1.0,23.0
GNANAG2,2026-02-25,19,A-flow,ground_floor,1,1,1.0,0.25,4.0
GNANAG2,2026-02-25,19,B-flow,ground_floor,7,180,25.71,0.25,28.0
GNANAG2,2026-02-25,20,A-flow,ground_floor,68,185,2.72,1.0,68.0
GNANAG2,2026-02-25,21,A-flow,ground_floor,18,18,1.0,0.75,24.0
GNANAG2,2026-02-25,22,A-flow,ground_floor,10,19,1.9,1.0,10.0
GODLEL2,2026-02-25,15,A-flow,ground_floor,5,121,24.2,0.5,10.0
GODLEL2,2026-02-25,15,B-flow,ground_floor,12,91,7.58,0.5,24.0
GODLEL2,2026-02-25,16,A-flow,ground_floor,5,25,5.0,0.5,10.0
GODLEL2,2026-02-25,16,B-flow,ground_floor,7,73,10.43,0.5,14.0
GODLEL2,2026-02-25,17,A-flow,ground_floor,20,168,8.4,0.75,26.67
GODLEL2,2026-02-25,18,A-flow,ground_floor,7,42,6.0,1.0,7.0
GODLEL2,2026-02-25,19,A-flow,ground_floor,10,60,6.0,0.5,20.0
GODLEL2,2026-02-25,20,A-flow,ground_floor,6,36,6.0,1.0,6.0
GODLEL2,2026-02-25,21,A-flow,ground_floor,3,18,6.0,0.75,4.0
GODLEL2,2026-02-25,22,A-flow,ground_floor,1,1,1.0,1.0,1.0
GOYKEP2,2026-02-25,9,A-flow,ground_floor,1,6,6.0,1.0,1.0
HAMERP2,2026-02-25,7,A-flow,ground_floor,9,90,10.0,0.5,18.0
HAMERP2,2026-02-25,7,B-flow,ground_floor,40,897,22.42,0.5,80.0
HAMERP2,2026-02-25,8,B-flow,ground_floor,49,639,13.04,1.0,49.0
HAMERP2,2026-02-25,9,B-flow,ground_floor,62,1524,24.58,1.0,62.0
HAMERP2,2026-02-25,10,B-flow,ground_floor,39,501,12.85,0.75,52.0
HAMERP2,2026-02-25,11,B-flow,ground_floor,46,1000,21.74,0.5,92.0
HAMERP2,2026-02-25,12,B-flow,ground_floor,16,79,4.94,1.0,16.0
HAMERP2,2026-02-25,13,A-flow,ground_floor,33,164,4.97,0.25,132.0
HAMERP2,2026-02-25,13,B-flow,ground_floor,15,159,10.6,0.25,60.0
HAMERP2,2026-02-25,13,unknown_flow,ground_floor,8,26,3.25,0.25,32.0
HAMERP2,2026-02-25,14,B-flow,ground_floor,20,184,9.2,0.5,40.0
HAMERP2,2026-02-25,14,unknown_flow,ground_floor,9,154,17.11,0.5,18.0
HAMERP2,2026-02-25,15,A-flow,ground_floor,11,84,7.64,0.5,22.0
HAMERP2,2026-02-25,15,B-flow,ground_floor,12,129,10.75,0.5,24.0
HRLOUB105,2026-02-25,15,B-flow,ground_floor,21,187,8.9,1.0,21.0
HRLOUB105,2026-02-25,16,B-flow,ground_floor,18,513,28.5,1.0,18.0
HRLOUB105,2026-02-25,18,A-flow,ground_floor,20,80,4.0,1.0,20.0
HRLOUB105,2026-02-25,19,B-flow,ground_floor,6,33,5.5,0.5,12.0
HRLOUB105,2026-02-25,20,A-flow,ground_floor,13,150,11.54,0.5,26.0
HRLOUB105,2026-02-25,20,B-flow,ground_floor,55,243,4.42,0.5,110.0
HRLOUB105,2026-02-25,21,B-flow,ground_floor,20,247,12.35,0.75,26.67
HRLOUB105,2026-02-25,22,B-flow,ground_floor,96,298,3.1,1.0,96.0
HRLOUB106,2026-02-25,15,A-flow,ground_floor,11,204,18.55,1.0,11.0
HRLOUB106,2026-02-25,16,B-flow,ground_floor,21,209,9.95,1.0,21.0
HRLOUB106,2026-02-25,17,A-flow,ground_floor,9,55,6.11,0.75,12.0
HRLOUB106,2026-02-25,18,A-flow,ground_floor,2,2,1.0,0.5,4.0
HRLOUB106,2026-02-25,18,B-flow,ground_floor,23,191,8.3,0.5,46.0
HRLOUB106,2026-02-25,21,A-flow,ground_floor,2,20,10.0,0.75,2.67
HRLOUB106,2026-02-25,22,B-flow,ground_floor,43,841,19.56,1.0,43.0
HRLOUB12,2026-02-25,7,B-flow,ground_floor,48,467,9.73,1.0,48.0
HRLOUB12,2026-02-25,8,B-flow,ground_floor,36,284,7.89,1.0,36.0
HRLOUB12,2026-02-25,9,B-flow,ground_floor,23,581,25.26,1.0,23.0
HRLOUB12,2026-02-25,10,B-flow,ground_floor,60,1107,18.45,0.75,80.0
HRLOUB12,2026-02-25,11,B-flow,ground_floor,36,980,27.22,0.5,72.0
HRLOUB12,2026-02-25,12,A-flow,ground_floor,9,206,22.89,0.5,18.0
HRLOUB12,2026-02-25,12,B-flow,ground_floor,35,710,20.29,0.5,70.0
HRLOUB12,2026-02-25,13,A-flow,ground_floor,8,32,4.0,0.38,21.33
HRLOUB12,2026-02-25,13,B-flow,ground_floor,22,373,16.95,0.38,58.67
HRLOUB12,2026-02-25,14,B-flow,ground_floor,43,421,9.79,1.0,43.0
HRLOUB12,2026-02-25,15,A-flow,ground_floor,19,172,9.05,1.0,19.0
HRLOUB21,2026-02-25,7,B-flow,ground_floor,39,691,17.72,1.0,39.0
HRLOUB21,2026-02-25,8,B-flow,ground_floor,42,561,13.36,1.0,42.0
HRLOUB21,2026-02-25,9,B-flow,ground_floor,15,154,10.27,1.0,15.0
HRLOUB21,2026-02-25,10,B-flow,ground_floor,32,293,9.16,0.75,42.67
HRLOUB21,2026-02-25,11,B-flow,ground_floor,17,425,25.0,0.5,34.0
HRLOUB21,2026-02-25,12,A-flow,ground_floor,2,2,1.0,0.5,4.0
HRLOUB21,2026-02-25,12,B-flow,ground_floor,14,145,10.36,0.5,28.0
HRLOUB21,2026-02-25,13,A-flow,ground_floor,33,99,3.0,0.38,88.0
HRLOUB21,2026-02-25,13,B-flow,ground_floor,12,112,9.33,0.38,32.0
HRLOUB21,2026-02-25,14,A-flow,ground_floor,24,238,9.92,1.0,24.0
HRLOUB21,2026-02-25,15,A-flow,ground_floor,14,390,27.86,1.0,14.0
HRLOUB248,2026-02-25,7,B-flow,ground_floor,33,159,4.82,1.0,33.0
HRLOUB248,2026-02-25,8,B-flow,ground_floor,34,334,9.82,1.0,34.0
HRLOUB248,2026-02-25,9,B-flow,ground_floor,19,162,8.53,1.0,19.0
HRLOUB248,2026-02-25,14,A-flow,ground_floor,10,98,9.8,0.5,20.0
HRLOUB248,2026-02-25,14,B-flow,ground_floor,14,404,28.86,0.5,28.0
HRLOUB248,2026-02-25,15,A-flow,ground_floor,9,149,16.56,0.5,18.0
HRLOUB248,2026-02-25,15,B-flow,ground_floor,11,111,10.09,0.5,22.0
HRLOUB27,2026-02-25,7,A-flow,ground_floor,35,102,2.91,0.5,70.0
HRLOUB27,2026-02-25,7,B-flow,ground_floor,17,109,6.41,0.5,34.0
HRLOUB27,2026-02-25,12,B-flow,ground_floor,9,90,10.0,1.0,9.0
HRLOUB27,2026-02-25,13,B-flow,ground_floor,45,1058,23.51,0.75,60.0
HRLOUB27,2026-02-25,14,B-flow,ground_floor,25,119,4.76,1.0,25.0
HRLOUB27,2026-02-25,15,A-flow,ground_floor,6,150,25.0,0.5,12.0
HRLOUB27,2026-02-25,15,B-flow,ground_floor,14,90,6.43,0.5,28.0
HRLOUB33,2026-02-25,7,B-flow,ground_floor,32,390,12.19,1.0,32.0
HRLOUB33,2026-02-25,9,A-flow,ground_floor,22,257,11.68,1.0,22.0
HRLOUB33,2026-02-25,10,A-flow,ground_floor,2,11,5.5,0.38,5.33
HRLOUB33,2026-02-25,10,B-flow,ground_floor,20,142,7.1,0.38,53.33
HRLOUB33,2026-02-25,11,B-flow,ground_floor,30,623,20.77,0.5,60.0
